word	freq/10M
ที่	202167.5
และ	192280.1
ใน	158971.5
มี	136479.6
การ	121240.6
ได้	117519.5
ของ	108228.0
ว่า	105187.0
ไม่	101624.6
เป็น	95720.7
ให้	92852.9
จะ	90906.5
ไป	64954.3
โดย	56453.1
มา	55045.9
จาก	54966.6
นาย	54645.9
กับ	51010.7
ก็	48374.5
ซึ่ง	47597.2
เพื่อ	42854.3
เมื่อ	39994.7
ปี	39108.9
ต้อง	37088.1
แต่	36545.6
วันที่	36166.7
คน	34853.4
นี้	34479.4
อยู่	32811.5
หรือ	32008.4
แล้ว	31537.2
ยัง	30972.0
อย่าง	30453.9
ไทย	29260.4
2	28868.6
1	26243.7
จึง	25358.0
ด้วย	24287.6
ใช้	23602.7
เรื่อง	22911.2
ประเทศ	22691.0
ทาง	22171.2
3	21863.6
พื้นที่	21428.0
เพราะ	21183.5
ทำ	21021.5
อ.	20700.9
ทั้ง	20503.4
บาท	20302.6
ประชาชน	20053.2
ส่วน	19739.1
สามารถ	19697.0
นำ	19305.1
กัน	19021.7
ต่อ	19000.7
พบ	18833.9
ถึง	18660.6
ตาม	18409.6
กว่า	18179.7
ผู้	17985.4
คือ	17951.4
นั้น	17936.8
จ.	17915.7
อีก	17404.1
ดังกล่าว	17313.4
ด้าน	17310.1
ทำให้	17159.5
เรา	16864.8
เวลา	16664.0
ถูก	16485.9
เจ้าหน้าที่	15710.3
กล่าวว่า	15422.1
4	14933.0
จังหวัด	14918.5
ขึ้น	14852.1
ได้รับ	14780.8
ตน	14627.0
กลุ่ม	14521.7
น.	14380.9
พร้อม	13794.7
ที่จะ	13697.5
เข้า	13679.7
จำนวน	13466.0
กล่าว	13284.6
ไว้	13234.4
บ้าน	13164.8
ก่อน	13095.1
เกิด	12986.6
5	12899.2
ดี	12819.9
ความ	12766.4
วัน	12645.0
สำหรับ	12570.5
มาก	12402.1
เมือง	12317.9
ช่วง	12196.4
ตรวจสอบ	12157.6
ล้าน	12066.9
หาก	12007.0
สร้าง	11958.4
ที่ผ่านมา	11589.2
ลง	11552.0
พระ	11461.3
บริเวณ	11383.6
รับ	11380.3
แห่ง	11304.2
ส่ง	11247.5
รายงาน	11224.9
ใหม่	11077.5
